NOME;CONCESSION;ANO_OPERA;TENSAO;LONGITUDE;LATITUDE;CPU
SE Zebu III;;-;500/230;0;0
SE UTE Portocem;;;500;0;0
SE UFV Luzeiro;;;230;0;0
SE São Miguel;;2026;345;0;0
SE UFVs Boa Sorte;;;500;0;0
SE Nova Ponte 3;;-;500;0;0
SE Castanha;;;500;0;0
SE Coletora Paripiranga;;;230;0;0
SE UFVs Velho Chico;;;345;0;0
SE Nossa Senhora da Glória II;;-;230;0;0
SE Alcaçuz;EOL ALCAÇUZ - CENTRAIS EÓLICAS ALCAÇUZ S.A.;-;230;0;0
SE UFV Solidão;;;500;0;0
SE Piauí Níquel Metais;;;230;0;0
SE UFV Coralina;;;230;0;0
SE Sete Pontes;;2026;345;0;0
SE Jussiape;;-;500;0;0
SE Santa Luzia III;;-;500/230/138;0;0
SE Coletora Caucaia;;;230;0;0
SE Pudong;;;230;0;0
SE Elevadora UFV Graviola;;-;230;0;0
SE Punaú;-;-;230;0;0
SE Cristo Rei;;;230;0;0
SE Graça Aranha;-;2028;800/500;0;0
SE Morada do Sol;;-;230;0;0
SE UFV Olho do Sol;;;230;0;0
SE Morro III;;;500;0;0
SE Porto Alegre Sul;;2030;525/230;0;0
SE Cuiabá Norte;;2026;500;0;0
SE UFV Acácia;;;500;0;0
SE Formosa do Rio Preto;;;230;0;0
SE Campos;;;500;0;0
SE Madri;;-;230;0;0
SE Serra das Almas II;;;500;0;0
SE Coxilha Negra 2;;;230;0;0
SE Descanso;;2037;230;0;0
SE Vilhena 2;;;230;0;0
SE Joinville Sul;-;2025;525/230/138;0;0
SE Iguatemi 2;;2024;230;0;0
SE Dias Macedo II;;2026;230;0;0
SE Crateús;;-;500;0;0
SE Serra da Borborema;;;230;0;0
SE UFVs Draco Solar;;;500;0;0
SE Cachimbo;;2027;230;0;0
SE Ilhota 2;-;2034;230;0;0
SE Belo Horizonte;;-;230;0;0
SE Elevadora UFV Verdão;;;230;0;0
SE Coletora UFV Arapuá;;;230;0;0
SE São João do Paraíso;;-;500;0;0
SE Santo Amaro da Imperatriz;;2033;230/138;0;0
SE Janauba 6;;-;500;0;0
SE Bonito;;;500;0;0
