LEILAO;NOME;CEG;ANO_PREV;POTENCIA;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
ANEEL;Serra do Assuruá 10;EOL.CV.BA.049380-5.1;20250801;40500;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
34º LEN;Ventos de Santo Antonio 06;EOL.CV.BA.051593-0.01;20251201;67500;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
33º LEN;Ventos de São Rafael 10;EOL.CV.RN.050016-0.01;20260201;63000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
ANEEL;Serra do Assuruá 17;EOL.CV.BA.049390-2.01;20250201;40500;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
ANEEL;Ventos de São Zacarias 01;EOL.CV.PI.038126-8.01;20250301;45600;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
ANEEL;Coxilha Negra 4;EOL.CV.RS.033807-9.1;20250301;96600;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
ANEEL;Serra do Assuruá 9;EOL.CV.BA.049379-1.01;20250201;40500;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
34º LEN;Ventos de Santo Antonio 08;EOL.CV.BA.051595-7.01;20250601;63000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
36º LEN;Serra da Borborema II;EOL.CV.PB.044989-0.01;20260101;49600;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
33º LEN;Ventos de Santa Luzia 15;EOL.CV.BA.051589-2.01;20260801;72000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
33º LEN;Ventos de São Rafael 05;EOL.CV.RN.049668-5.01;20250701;63000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
ANEEL;Serra das Almas V;EOL.CV.BA.037086-0.1;20250501;45000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
