NOME;CONCESSION;ANO_OPERA;TENSAO;LONGITUDE;LATITUDE;CD_MUN;CPU
SE Blumenau;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;525/230/138;0;0;
SE Boa Esperança;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;500/230;0;0;
SE Boa Vista;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;-;230/69/13,8;0;0;
SE Bom Despacho 3;CEMIG - Companhia Energética de Minas Gerais;2004;500;0;0;
SE Bom Jardim;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;440/138/88/13,8;0;0;
SE Bom Jesus da Lapa II;TAESA - TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A;2003;500/230;0;0;
SE Bom Jesus II;SPEDRO - SAO PEDRO TRANSMISSORA DE ENERGIA S/A;2018;230/69;0;0;
SE Bom Nome;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/138/69;0;0;
SE Bongi;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/69/13,8;0;0;
SE Botucatu;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;230/138;0;0;
SE Brasília Geral;FURNAS - Furnas Centrais Elétricas S.A.;1960;230/34,5;0;0;
SE Brasília Leste;VSBTE - VALE DO SAO BARTOLOMEU TRANSMISSORA DE ENERGIA S.A.;2017;500;0;0;
SE Brasilia Sul;FURNAS - Furnas Centrais Elétricas S.A.;1972;345/230/138;0;0;
SE Braúnas;Cemig;2022;230;0;0;
SE Brotas de Macaubas;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;2012;230;0;0;
SE Brumado II;AFLUENTE TRANSMISSÃO - Afluente Transmissão de Energia Elétrica SA;2002;230/138/69;0;0;
SE Imbirussú;PORTO PRIMAVERA - Porto Primavera Transmissora de Energia S/A.;2006;230/138;0;0;
SE Cabreuva;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;440/230/138/13,8;0;0;
SE Cachoeira Dourada;CDSA - Centrais Elétricas Cachoeira Dourada S/A;1959;230/138;0;0;
SE Cachoeira Paulista;FURNAS - Furnas Centrais Elétricas S.A.;1974;500/138;0;0;
SE Caetés II;EOL SANTA BRIGIDA I - VENTOS DE SANTA BRIGIDA I ENERGIAS RENOVAVEIS S.A;2015;230/34,5;0;0;
SE Camaçari II;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;500/230/69;0;0;
SE Camaçari IV;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;2012;500/230;0;0;
SE Camaquã;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/69;0;0;
SE Camaquã 3;TSBE - Transmissora Sul Brasileira de Energia S A;2014;230/69;0;0;
SE Campina Grande III;ETN - EXTREMOZ TRANSMISSORA DO NORDESTE;2015;500/230;0;0;
SE Campina Grande II;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/138/69/13,8;0;0;
SE Campinas;FURNAS - Furnas Centrais Elétricas S.A.;1971;500/345/138;0;0;
SE Campo Bom;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/69/23;0;0;
SE Campo do Assobio;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;1998;230/138/13,8;0;0;
SE Campo Grande 2;PANTANAL TRA - PANTANAL TRANSMISSAO S.A.;2016;230/138;0;0;
SE Campos;FURNAS - Furnas Centrais Elétricas S.A;1973;345/138;0;0;
SE Campo Mourão;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;230/138;0;0;
SE Campos Novos;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;525/230/138;0;0;
SE UHE Cana Brava;ENGIE - ENGIE BRASIL ENERGIA SA;2002;230/13,8;0;0;
SE Canarana;STATE GRID - State Grid Brazil Holding Sa;2018;230/138;0;0;
SE Presidente Médici;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;2005;230/138;0;0;
SE Canoas 2;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;2002;230;0;0;
SE Canoinhas;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;230/138;0;0;
SE Capão Bonito;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;230/138/13,8;0;0;
SE Capivara;DUKE ENERGY - Duke Energy Internacional - Geração Paranapanema;1977;440/138/14,4;0;0;
SE Capivari do Sul;PAMPA TRANSMISSORA - PAMPA TRANSMISSÃO DE ENERGIA S.A.;2023;500/230/138;0;0;
SE Carajás (PA);ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;2006;230/138;0;0;
SE Carajás (GO);CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A;2009;230/138;0;0;
SE Cascavel;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;1986;230/138/34,5/13,8;0;0;
SE Cascavel Oeste;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;2001;525/230;0;0;
SE Catu;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/69;0;0;
SE Cauípe;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/69;0;0;
SE Caxias;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;2001;525/230;0;0;
SE Caxias do Sul 5;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/69/13,8;0;0;
SE Caxias do Sul 2;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/69;0;0;
SE Schincariol;-;-;230;0;0;
SE CBA 2;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;2006;440/230;0;0;
SE Ceará Mirim II;ETN - EXTREMOZ TRANSMISSORA DO NORDESTE;2014;500/230;0;0;
SE Aimorés;CEMIG - Companhia Energética de Minas Gerais;2005;230;0;0;
SE Centro - CTR;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;230/88/20;0;0;
SE Centro - CTT;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;230;0;0;
SE Cerquilho III;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;2014;230/138;0;0;
SE Chavantes;DUKE ENERGY - Duke Energy Internacional - Geração Paranapanema;1970;230/88;0;0;
SE Cícero Dantas;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/69;0;0;
SE Cidade Industrial;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/138/23;0;0;
SE Cidade Industrial de Curitiba;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;2003;230/69/13,8;0;0;
SE Cláudia;MATRINCHA - MATRINCHA TRANSMISSORA DE ENERGIA S A;2015;500;0;0;
SE Codemin;-;-;230;0;0;
SE Coelho Neto;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;-;230/69;0;0;
SE Chapadão;ITATIM - Linhas de Transmissão Itatim Ldta;2011;230/138;0;0;
SE Coletora Porto Velho;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;2011;500/230;0;0;
SE Colinas;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;-;500;0;0;
SE Conselheiro Lafaiete;CEMIG - Companhia Energética de Minas Gerais;1955;345/138;0;0;
SE Conselheiro Pena;CEMIG - Companhia Energética de Minas Gerais;-;230/69/13,8;0;0;
SE Coremas;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230;0;0;
SE Corumbá;FURNAS - Furnas Centrais Elétricas S.A.;1998;345/138;0;0;
SE Corumbá 2;LTC - LINHA DE TRANSMISSÃO CORUMBÁ;2013;230/138;0;0;
SE Coxipó;ELETRONORTE - Centrais Elétricas do Norte do Brasil S/A;-;230/138;0;0;
SE Cuiabá;AETE - AMAZÔNIA - ELETRONORTE TRANSMISSORA DE ENERGIA S.A.;2005;500/230;0;0;
SE Curitiba;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;525/230;0;0;
SE Curitiba Leste;MARUMBI - MARUMBI TRANSMISSORA DE ENERGIA S.A;2015;525/230;0;0;
SE Delmiro Gouveia;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/69;0;0;
SE Desterro;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;2008;230/138;0;0;
SE Distrito Industrial de São José dos Pinhais;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;-;230/69/13,8;0;0;
SE Dona Francisca;DFESA - Dona Francisca Energética S.A.;2001;230/13,8;0;0;
SE Dourados;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;230/138;0;0;
SE Edgard de Souza;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;230/88;0;0;
SE Eldorado do Sul;CEEE GT - Companhia Estadual de Geração e Transmissão de Energia Elétrica;-;230/23;0;0;
SE Eliseu Martins;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;2006;230/69;0;0;
SE Emborcação;CEMIG GT - CEMIG GERAÇÃO E TRANSMISSÃO S.A;1982;500/138;0;0;
SE Embu-Guaçu;CTEEP - Companhia de Transmissão de Energia Elétrica Paulista;-;440/345/138/16/13,8;0;0;
SE Encruzo Novo;ENCRUZO NOVO - ENCRUZO NOVO TRANSMISSORA DE ENRGIA LTDA;2012;230/69;0;0;
SE UHE Luiz Carlos Barreto de Carvalho (Estreito);FURNAS - Furnas Centrais Elétricas S.A.;1970;345/13,8;0;0;
SE Estreito;LTT - LT Triângulo S.A.;2008;500/345;0;0;
SE Eunápolis;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/138;0;0;
SE Extremoz II;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;2014;230/69;0;0;
SE Farroupilha;ELETROSUL - ELETROSUL Centrais Elétricas S.A.;-;230/69;0;0;
SE Tomba;AFLUENTE TRANSMISSÃO - Afluente Transmissão de Energia Elétrica SA;-;230/69;0;0;
SE Fernão Dias;MSGT - MATA DE SANTA GENEBRA TRANSMISSAO S.A.;2020;500/440;0;0;
SE Fibraplac;FIBRAPLAC - Fibraplac Chapas de MDF Ltda;2003;230/13,8;0;0;
SE Figueira;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;-;230/138;0;0;
SE Firminópolis;CELG - GT - CELG GERAÇÃO E TRANSMISSÃO S/A;1997;230/138;0;0;
SE Forquilhinha;IES - INTERLIGAÇÃO ELÉTRICA SUL S.A;2011;230/69;0;0;
SE Fortaleza II;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;500/230;0;0;
SE Foz do Chapecó;FOZ CHAPECÓ - Foz do Chapecó Energia S.A.;2010;230/138;0;0;
SE Foz do Chopim;COPEL-GT - COPEL GERAÇÃO E TRANSMISSÃO S.A;1998;230/138;0;0;
SE Foz do Iguaçu;FURNAS - Furnas Centrais Elétricas S.A.;1984;765/600/500/127;0;0;
SE Funil;CHESF - CHESF - Companhia Hidro Elétrica do São Francisco;-;230/138;0;0;
SE Poços de Caldas;FURNAS - Furnas Centrais Elétricas S.A.;1963;500/345/138;0;0;
SE Garabi II;ENEL CIEN - ENEL CIEN S.A;2002;500;0;0;
SE Garanhuns II;IEG - INTERLIGAÇÃO ELÉTRICA GARANHUNS;2015;500/230;0;0;
