NOME;PROPRIET;POTENCIA;INI_OPER;CEG;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
Mendubim XI;100% para SOL DE PIPA ENERGIA LTDA (PIE);46000;20240208;UFV.RS.RN.037772-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Janaúba 6;100% para Janaúba VI Geração Solar Energia S.A. (PIE);50000;20220928;UFV.RS.MG.040862-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
arinos 9;100% para Usina Fotovoltaica Arinos C 9 Ltda. (PIE);48118;20240905;UFV.RS.MG.047305-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Claudina;100% para CENTRAL GERADORA FOTOVOLTAICA CLAUDINA DALPONTE RECALCATI LTDA (REG);750;20221130;UFV.RS.RS.071325-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Janaúba 20;100% para JANAÚBA XX GERAÇÃO SOLAR ENERGIA S.A (PIE);50000;20230418;UFV.RS.MG.040876-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Guaimbé 2;100% para GUAIMBÉ II PARQUE SOLAR S.A. (PIE);30000;20180206;UFV.RS.SP.032327-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra do Mel II;100% para Sol Serra do Mel II SPE S.A. (PIE);103110;20220610;UFV.RS.RN.037812-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Sertão Solar Barreiras XX;100% para SERTAO SOLAR BARREIRAS XX S.A. (PIE);50000;20240710;UFV.RS.BA.044515-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Caldeirão Grande II;100% para CENTRAL GERADORA SOLAR CRUZEIRO S/A (PIE);30933;20230103;UFV.RS.PI.031690-3.02;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Nova Aurora;100% para ENGIE Brasil Energia S.A. (REG);3068;20130328;UFV.RS.SC.031430-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ribeiro Gonçalves I;100% para RIBEIRO GONCALVES SOLAR I S.A. (PIE);16929;20240523;UFV.RS.PI.041904-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Angico I;100% para ANGICO ENERGIAS RENOVÁVEIS S.A. (PIE);27200;20180929;UFV.RS.PB.034085-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Jaíba NE2;100% para Jaíba NE2 Energias Renováveis S.A. (PIE);40000;20240828;UFV.RS.MG.043154-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Bom Nome 1-5;100% para Bon Nome Serviços Administrativos III Ltda. (PIE);50000;20220203;UFV.RS.PE.042927-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Central Mineirão;100% para CEMIG Geração e Transmissão S.A. (REG);1420;20140425;UFV.RS.MG.031760-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
arinos 24;100% para Usina Fotovoltaica Arinos E 24 Ltda. (PIE);41065;20240920;UFV.RS.MG.050843-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Sol do Futuro II (Antiga Steelcons Sol do Futuro III);100% para CENTRAL FOTOVOLTAICA SOL DO FUTURO II S.A (PIE);27000;20190302;UFV.RS.CE.034746-9.02;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Milagres IV;100% para LIGHTSOURCE MILAGRES IV GERAÇÃO DE ENERGIA LTDA (PIE);32740;20231220;UFV.RS.CE.044579-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Pirapora 2;100% para PIRAPORA II ENERGIAS RENOVÁVEIS S.A. (PIE);31000;20160518;UFV.RS.MG.033185-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Futura 19;100% para SPE FUTURA 5 GERACAO E COMERCIALIZACAO DE ENERGIA SOLAR S.A. (PIE);31474.8;20230524;UFV.RS.BA.037497-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
AC IV;100% para VALE S.A. (PIE);39496;20230103;UFV.RS.MG.037404-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Mendubim IX;100% para SOL DE GENIPABU ENERGIA LTDA (PIE);40250;20240208;UFV.RS.RN.037770-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Novo Oriente IV;100% para CENTRAL SOLAR NOVO ORIENTE IV S.A. (PIE);40600;;UFV.RS.SP.049338-4.1;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Janaúba 4;100% para Janaúba IV Geração Solar Energia S.A. (PIE);50000;20220730;UFV.RS.MG.040860-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Assú V;100% para CENTRAL FOTOVOLTAICA ASSU V S.A. (PIE);34000;20171223;UFV.RS.RN.034184-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Futura 2;100% para SPE FUTURA 1 GERACAO E COMERCIALIZACAO DE ENERGIA SOLAR S.A. (PIE);31474.8;20230524;UFV.RS.BA.037480-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Pedro e Paulo I;100% para São Pedro e Paulo I SPE S.A. (PIE);27496;20240518;UFV.RS.PE.031870-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Lavras 3;100% para LAVRAS 3 SOLAR ENERGIAS RENOVÁVEIS S.A. (PIE);27000;20220729;UFV.RS.CE.037867-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Boa Sorte 4;100% para CENTRAL FOTOVOLTAICA BOA SORTE 4 SPE LTDA. (PIE);44100;20240323;UFV.RS.MG.049187-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Pedro IV;100% para Central Fotovoltaica São Pedro IV Ltda (PIE);27000;20181108;UFV.RS.BA.033784-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Belmonte 2-2;98% para MATEUS SUPERMERCADOS S.A. (PIE) 2% para BELMONTE SOLAR HOLDING S.A (PIE);50000;20231025;UFV.RS.PE.040736-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Lar do Sol 5;100% para USINA DE ENERGIA FOTOVOLTAICA LAR DO SOL II S.A. (PIE);49500;20230412;UFV.RS.MG.037834-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Floresta III;100% para ENGIE SOLAR FLORESTA III GERAÇÃO CENTRALIZADA SPE S.A (PIE);22000;20171223;UFV.RS.RN.033569-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São João 4;100% para GERADORA SOLAR SAO JOAO PARACATU I S.A. (PIE);30000;20231129;UFV.RS.MG.047284-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
ETESA 20 São João do Piauí IV;100% para CELEO SÃO JOÃO DO PIAUÍ FV IV S.A. (PIE);28840;20200415;UFV.RS.PI.034788-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ferreira Costa Natal;100% para FERREIRA COSTA &amp CIA LTDA (REG);700;20220803;UFV.RS.RN.068302-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Vazante 3;100% para Vazante III Energias Renováveis S.A. (PIE);27000;20171207;UFV.RS.MG.032341-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Polpa Ideal I;100% para Industria de Polpa de Frutas Ideal LTDA (REG);217.2;20200217;UFV.RS.PB.052044-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
arinos 22;100% para Usina Fotovoltaica Arinos E 22 Ltda. (PIE);47945;20241017;UFV.RS.MG.050841-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Maravilhas II;100% para Atiaia Energia S.A. (PIE);27000;20231219;UFV.RS.PE.050606-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Sobral 1;100% para Sobral I Solar Energia SPE Ltda (PIE);30000;20170909;UFV.RS.PI.034388-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Janaúba 18;95% para TELEFONICA BRASIL S.A. (APE) 5% para SANTO AFONSO ENERGETICA S.A.. (APE);50000;20230531;UFV.RS.MG.040874-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Lapa 2;100% para Nova Lapa Solar S.A. (PIE);30000;20170630;UFV.RS.BA.034437-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
AC V;100% para VALE S.A. (PIE);39496;20230103;UFV.RS.MG.037390-7.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Solar Salgueiro III;100% para SALGUEIRO III ENERGIAS RENOVÁVEIS S.A. (PIE);30000;20210819;UFV.RS.PE.034105-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Novo Oriente II;100% para CENTRAL SOLAR NOVO ORIENTE II S.A. (PIE);40600;;UFV.RS.SP.049336-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Jaíba CE;100% para Jaíba CE Energias Renováveis S.A. (PIE);40000;20240504;UFV.RS.MG.043148-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Alex X;100% para Alex X Energia SPE S.A. (PIE);30933;20211030;UFV.RS.CE.035864-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Horizonte MP 11;100% para Enel Green Power Horizonte MP Solar S.A. (PIE);21000;20180317;UFV.RS.BA.033777-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Juazeiro Solar I;100% para CENTRAL FOTOVOLTAICA JUAZEIRO SOLAR I SPE LTDA (PIE);30000;20181212;UFV.RS.BA.033928-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Serra do Mato IV;100% para SERRA DO MATO IV ENERGIA SOLAR S.A. (PIE);54128;20230706;UFV.RS.CE.044496-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Marangatu 11;100% para MARANGATU 11 ENERGIAS RENOVAVEIS S.A. (PIE);30000;20240419;UFV.RS.PI.038353-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Futura 14;100% para SPE FUTURA 4 GERACAO E COMERCIALIZACAO DE ENERGIA SOLAR S.A. (PIE);31474.8;20230526;UFV.RS.BA.037492-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Belmonte 1-4;100% para Belmonte I Parque Solar S.A. (PIE);5001;20231205;UFV.RS.PE.040728-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Mendubim IV;100% para SOL DE GALINHOS ENERGIA LTDA (PIE);31625;20240208;UFV.RS.RN.037752-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São João 2;100% para GERADORA SOLAR SAO JOAO PARACATU I S.A. (PIE);30000;20231129;UFV.RS.MG.047282-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Coremas VII;100% para Coremas VII Geração de Energia SPE Ltda. (PIE);27000;20220526;UFV.RS.PB.032882-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Pereira Barreto V;100% para CENTRAL SOLAR PEREIRA BARRETO V S.A (PIE);35910;20211120;UFV.RS.SP.034365-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Luzia 3;100% para RIO ALTO UFV STL III SPE S/A (PIE);50000;;UFV.RS.PB.049687-1.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Arinos 16;100% para Usina Fotovoltaica Arinos E 16 Ltda. (PIE);47945;20240920;UFV.RS.MG.047312-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Gonçalo 22;100% para Enel Green Power São Gonçalo 22 S.A. (PIE);50000;20200228;UFV.RS.PI.037589-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
AC XXI;100% para VALE S.A. (PIE);39496;20230718;UFV.RS.MG.037632-9.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Monte Verde Solar III;100% para Central Geradora Fotovoltaica Monte Verde Solar III S.A. (PIE);42471.13;20240307;UFV.RS.RN.045155-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
São Gonçalo 11;100% para ENEL GREEN POWER SÃO GONÇALO 11 S.A (PIE);34542;20201222;UFV.RS.PI.037578-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Solar São Gabriel;100% para CRELUZ - COOPERATIVA DE GERAÇÃO DE ENERGIA E DESENVOLVIMENTO (REG);379;20191212;UFV.RS.RS.046740-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Hélio Valgas 10;100% para GERADORA SOLAR HELIO VALGAS V S.A. (PIE);50000;20230804;UFV.RS.MG.043001-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Boa Sorte 6;100% para CENTRAL FOTOVOLTAICA BOA SORTE 6 SPE LTDA (PIE);44100;20240307;UFV.RS.MG.049189-6.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ituverava 4;100% para Enel Green Power Ituverava Solar S.A. (PIE);28000;20171223;UFV.RS.BA.032319-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Sertão Solar Barreiras I;100% para Solar Barreiras I Energia SPE LTDA. (PIE);23660;20191129;UFV.RS.BA.033469-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Sitiá 2;100% para SITIÁ 2 ENERGIAS RENOVÁVEIS S.A. (PIE);25000;20240202;UFV.RS.CE.038397-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ster Bom Matriz;100% para Ster Bom Ind. e Com. LTDA. (REG);360;20200115;UFV.RS.RN.050250-2.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Araxá 1;100% para USINA DE ENERGIA FOTOVOLTAICA ARAXA S.A. (PIE);45000;20230301;UFV.RS.MG.040851-4.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Perola Rua Luziania;100% para Pérola Distribuição e Logística S.A. (REG);140;20220718;UFV.RS.GO.071739-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Mendubim II;100% para SOL DE CRISTÓVÃO ENERGIA LTDA (PIE);46000;20240208;UFV.RS.RN.037750-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Rafitec Fábrica 03;100% para RAFITEC S/A INDÚSTRIA E COMÉRCIO DE SACARIAS (REG);108;20190901;UFV.RS.SC.07133-3;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Alex IX;100% para Alex IX Energia SPE S.A. (PIE);30933;20211030;UFV.RS.CE.035863-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Caxiense;100% para PEDREIRA E CONCRETOS CAXIENSE LTDA (REG);1870;20200113;UFV.RS.RS.046811-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Luzia 1;100% para RIO ALTO UFV STL I SPE S/A (PIE);50000;20240911;UFV.RS.PB.049685-5.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Marangatu 3;100% para MARANGATU 3 ENERGIAS RENOVAVEIS S.A. (PIE);30000;20240419;UFV.RS.PI.037788-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Futura 9;100% para SPE FUTURA 3 GERACAO E COMERCIALIZACAO DE ENERGIA SOLAR S.A. (PIE);31474.8;20230524;UFV.RS.BA.037487-3.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Ciranda 2;100% para CIRANDA 2 ENERGIAS RENOVAVEIS S.A. (PIE);49500;20230809;UFV.RS.PE.037466-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Coremas I;100% para COREMAS I GERAÇÃO DE ENERGIA SPE S.A (PIE);27000;20190201;UFV.RS.PB.032311-0.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Jaíba CS;100% para Jaíba CS Energias Renováveis S.A. (PIE);40000;20240525;UFV.RS.MG.043164-8.01;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
