NOME;LEILAO;ANO_PREV;CEG;POTENCIA;CREATED_US;CREATED_DA;LAST_EDITE;LAST_EDI_1;CPU
Mauriti 6;ANEEL;2025;UFV.RS.CE.038369-4.01;49110;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Mauriti 7;ANEEL;2025;UFV.RS.CE.038370-8.01;14733;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Mauriti 8;ANEEL;2025;UFV.RS.CE.038371-6.01;49110;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Morada do Sol I;ANEEL;2025;UFV.RS.GO.046567-4.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Morada do Sol II;ANEEL;2025;UFV.RS.GO.046568-2.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Morada do Sol III;ANEEL;2025;UFV.RS.GO.046569-0.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Morada do Sol IV;ANEEL;2025;UFV.RS.GO.046570-4.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Morada do Sol V;ANEEL;2025;UFV.RS.GO.046571-2.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Morada do Sol VI;ANEEL;2025;UFV.RS.GO.046572-0.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Novo Oriente VI;ANEEL;2025;UFV.RS.SP.049340-6.1;46052.71;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Panorama 01;35º LEN;2025;UFV.RS.PI.049401-1.02;100000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Panorama 02;35º LEN;2025;UFV.RS.PI.049402-0.02;100000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Panorama 03;35º LEN;2025;UFV.RS.PI.049403-8.02;100000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Panorama 04 (Fótons de São George 01);35º LEN;2026;UFV.RS.CE.049404-6.02;78200;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Panorama 05 (Fótons de São George 02);35º LEN;2026;UFV.RS.CE.049405-4.01;78200;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Panorama 06 (Fótons de São George 03);35º LEN;2026;UFV.RS.CE.049406-2.02;78200;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Panorama 07 (Fótons de São George 04);35º LEN;2026;UFV.RS.CE.049407-0.02;78200;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Panorama 08 (Fótons de São George 05);35º LEN;2026;UFV.RS.CE.049408-9.02;78200;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Pedro Leopoldo 1;ANEEL;2025;UFV.RS.MG.052082-9.01;45000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Profª. Heley de Abreu Silva Batista 1 (Antiga Janauba 138-1);37º LEN;2027;UFV.RS.MG.045712-4.01;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Profª. Heley de Abreu Silva Batista 2 (Antiga Janauba 138-2);37º LEN;2027;UFV.RS.MG.045713-2.01;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Raios de São Francisco V;35º LEN;2026;UFV.RS.PI.051649-0.01;30000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Raios de São Francisco VI;35º LEN;2026;UFV.RS.PI.051650-3.01;30000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Luzia 15;ANEEL;2026;UFV.RS.PB.049699-5.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Luzia 16;ANEEL;2026;UFV.RS.PB.050865-9.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Luzia 17;ANEEL;2026;UFV.RS.PB.050866-7.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
Santa Luzia 18;ANEEL;2026;UFV.RS.PB.050867-5.1;50000;BERNARDO.OLIVEIRA;20241213;BERNARDO.OLIVEIRA;20241213
